gene_symbol,Ahcy
parameter_name,Sodium
pvalue,0.1384532
mouse_life_stage,E9.5
parameter_id,IMPC_CBC_001_001
analysis_id,t6p8y12294ka1v2
mouse_strain,C57BL
gene_accession_id,MGI:87968
