parameter_name,Cleft palate
gene_symbol,Sla2
mouse_strain,C57BL
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
pvalue,0.7889734
analysis_id,hr8r79zwz04k6r9
parameter_id,IMPC_GEP_076_001
