analysis_id,7y7noo1804608g3
parameter_name,LVIDd
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
gene_symbol,Trdmt1
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
pvalue,0.9995908
