gene_symbol,Rap2b
parameter_id,MGP_IMM_001_001
analysis_id,d88h7uyo23lvpa1
parameter_name,Total T cells - % of CD45+
mouse_strain,C55BL
mouse_life_stage,Early adult
pvalue,0.4963142
gene_accession_id,MGI:1921262
