analysis_id,h001ker1ig8f729
mouse_strain,C57BL
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
pvalue,0.308162
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
mouse_life_stage,Late adult
