analysis_id,wnc2j2886v6qsh9
mouse_strain,C57BL
pvalue,0.8336797
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1913506
gene_symbol,Ssr2
parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
