gene_symbol,Dcaf10
parameter_id,MGP_CSD_025_001
parameter_name,Ventral coat/hair presence
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5942727
gene_accession_id,MGI:2140179
analysis_id,z86t76g53t4pdh2
