analysis_id,wl8ga039bla5u0x
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:1916846
parameter_name,MZB (CD21/35 high)
gene_symbol,Ap5s1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7995984
