gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
parameter_name,Retina (combined)
pvalue,0.8805867
analysis_id,r0fww4t1sad8p57
parameter_id,IMPC_EYE_092_002
mouse_strain,C57BL
mouse_life_stage,Early adult
