mouse_strain,B6J
parameter_id,IMPC_GEL_028_001
mouse_life_stage,Early adult
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_name,Forebrain
pvalue,0.826811
analysis_id,2o09k6omn7769k2
