gene_symbol,Inka2
gene_accession_id,MGI:1923497
pvalue,0.6771285
parameter_name,Mean right eye lens density
analysis_id,1tg627h4i02h26d
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_059_001
