analysis_id,0uli8n2o0a77s24
pvalue,0.4531387
parameter_id,ESLIM_008_001_013
gene_accession_id,MGI:1917810
parameter_name,Startle response
mouse_life_stage,E9.5
gene_symbol,Wars2
mouse_strain,C57BL
