analysis_id,25699ke3gz48ei0
gene_symbol,Clvs1
pvalue,0.858557
parameter_name,Center permanence time
gene_accession_id,MGI:1921688
parameter_id,IMPC_OFD_016_001
mouse_strain,C57BL
mouse_life_stage,Early adult
