parameter_id,IMPC_GRS_011_001
analysis_id,m8hd59h9sq4pwub
gene_symbol,AU040320
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.2543478
