analysis_id,w1m7ikr66p2o15w
mouse_life_stage,Early adult
parameter_name,Hemorrhage
gene_accession_id,MGI:3588214
gene_symbol,Rufy4
pvalue,0.1955248
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
