analysis_id,556pp213912f172
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_032_001
mouse_strain,129SV
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.07859379
