gene_symbol,Zcchc2
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - Global
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_037_001
gene_accession_id,MGI:2444114
pvalue,0.795552
analysis_id,77ez5pywtk11193
