parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:99501
analysis_id,d67g57114v0433z
mouse_strain,C57BL
gene_symbol,Fgb
pvalue,0.5718875
parameter_name,Contact righting
mouse_life_stage,Early adult
