analysis_id,a6z47qpo66q6k5y
gene_symbol,Trp53rkb
pvalue,0.6341454
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Shape of ribcage
gene_accession_id,MGI:1914050
parameter_id,IMPC_XRY_059_001
