analysis_id,1jt22qmr6hx8yua
gene_accession_id,MGI:2685277
mouse_strain,C57BL
gene_symbol,Zyg11b
mouse_life_stage,E18.5
parameter_id,MGP_IMM_017_001
pvalue,0.2845337
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
