parameter_name,Basophil differential count
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3k24x34m80053zo
pvalue,0.3165719
gene_symbol,F2
gene_accession_id,MGI:88380
parameter_id,IMPC_HEM_038_001
