analysis_id,qs1238z3q1vd6d4
gene_symbol,Trp53i11
parameter_id,MGP_PBI_033_001
pvalue,0.8985953
gene_accession_id,MGI:2670995
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD8+ KLRG1+ alpha beta T cell number
