gene_symbol,Wars2
parameter_id,IMPC_IPG_011_001
pvalue,0.9192556
analysis_id,u2v6q653674mac7
parameter_name,Initial response to glucose challenge
mouse_strain,C57BL
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
