analysis_id,qp4c7ks1xs9b480
parameter_name,Chloride
mouse_strain,C57BL
gene_accession_id,MGI:1917810
parameter_id,HMGULA_CBC_003_001
gene_symbol,Wars2
mouse_life_stage,E12.5
pvalue,0.1809406
