analysis_id,2jx6hzox2nj1303
parameter_name,Macrophages - % of CD45+
gene_accession_id,MGI:3026886
parameter_id,MGP_IMM_121_001
mouse_life_stage,Early adult
pvalue,0.7668442
gene_symbol,Cdin1
mouse_strain,C57BL
