analysis_id,em92404gfhl9798
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_name,Platelet count
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
pvalue,0.5110569
parameter_id,IMPC_HEM_008_001
