parameter_name,B cell percentage
analysis_id,hdv43b6597503cs
mouse_strain,C56BL
parameter_id,MGP_PBI_014_001
gene_symbol,Psmd14
mouse_life_stage,Early adult
pvalue,0.7736269
gene_accession_id,MGI:1913284
