analysis_id,619t0ccx52e794q
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1345282
pvalue,0.09458799
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
gene_symbol,Slc30a4
