analysis_id,dim332704955990
parameter_id,IMPC_GEO_009_002
mouse_life_stage,Early adult
parameter_name,Hemorrhage
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
pvalue,0.124472
mouse_strain,129SV
