analysis_id,44xx73q98hb94p4
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
pvalue,0.7888208
mouse_life_stage,Early adult
parameter_id,MGP_BMI_006_001
mouse_strain,C57BL
gene_symbol,Rab13
gene_accession_id,MGI:1927232
