analysis_id,vp30464394x68c0
gene_symbol,Fgb
pvalue,0.6654784
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
parameter_name,Mean-cell-volume
parameter_id,M-G-P_016_001_005
