gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_name,Body Weight
analysis_id,0dc1igyiffs6wp4
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
mouse_strain,C57BL
pvalue,0.3087253
