analysis_id,t6306f720ln0uq9
mouse_strain,C57BL
pvalue,0.9157055
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_name,Right kidney weight
mouse_life_stage,E12.5
parameter_id,IMPC_OWT_004_001
