analysis_id,t62t5lp812c47vb
mouse_life_stage,Late adult
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:109128
pvalue,0.3108033
gene_symbol,Hnf4a
