analysis_id,ydmz031z3g409e4
gene_accession_id,MGI:1921442
parameter_name,Body weight
pvalue,0.214397
mouse_life_stage,Early adult
parameter_id,M-G-P_009_001_003
gene_symbol,Arpc5l
mouse_strain,C57BL
