analysis_id,7a95vy14xigjgm9
gene_symbol,Dhdds
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
pvalue,0.3920949
parameter_name,Total food intake
