gene_symbol,Morn5
parameter_name,Eye
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
gene_accession_id,MGI:1922745
pvalue,0.6517639
analysis_id,284rr53h58lt7yx
mouse_strain,C57BL
