parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
pvalue,0.1738297
mouse_strain,C57BL
analysis_id,u744827yv56k8pq
parameter_id,ICS_FEA_019_001
gene_symbol,Ufc1
