analysis_id,32m7hq6sl7h1418
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD45+
parameter_id,MGP_IMM_081_001
pvalue,1.453908
gene_symbol,Dmap1
