parameter_name,Bone Mineral Content
parameter_id,ESLIM_005_001_005
analysis_id,f477875n149z237
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,1.395
