parameter_name,center - distance
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Cd52
parameter_id,M-G-P_007_001_010
pvalue,0.4166222
analysis_id,r94x1z7xd4ko195
gene_accession_id,MGI:1346088
