gene_symbol,Cpa3
parameter_id,MGP_IMM_013_001
gene_accession_id,MGI:88479
parameter_name,Total CD8+ T cells - % of ab T cells
pvalue,0.6840918
analysis_id,3457a075hx56wzz
mouse_strain,C57BL
mouse_life_stage,Early adult
