analysis_id,41apr495n0o22x6
mouse_strain,129SV
gene_symbol,Bpifa3
mouse_life_stage,Early adult
pvalue,0.7250394
gene_accession_id,MGI:1920638
parameter_id,IMPC_HWT_008_001
parameter_name,Heart weight
