analysis_id,s390f7ilm667eb4
parameter_name,Periphery resting time
pvalue,0.3275451
gene_symbol,Dmap1
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
