mouse_strain,C57BL
parameter_name,Neutrophil differential count
gene_symbol,Sgip1
pvalue,0.8000595
parameter_id,IMPC_HEM_029_001
analysis_id,8g1tq7p96t1001k
mouse_life_stage,Early adult
gene_accession_id,MGI:1920344
