parameter_name,Coat colouration
analysis_id,b2xb104v3bq11xa
gene_accession_id,MGI:1915678
gene_symbol,Steap3
pvalue,0.9678888
parameter_id,M-G-P_026_001_004
mouse_life_stage,Early adult
mouse_strain,C57BL
