parameter_name,DN NKT cells
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.8235632
gene_accession_id,MGI:2441730
parameter_id,IMPC_IMM_013_001
analysis_id,79v114p6d566z6c
