parameter_name,CD8 CD44+CD62L- T cells
mouse_life_stage,Early adult
analysis_id,y8xqb9j267iy1wy
parameter_id,IMPC_IMM_032_001
pvalue,0.8842829
gene_symbol,Mapkap1
mouse_strain,C57BL
gene_accession_id,MGI:2444554
