parameter_name,Eye
gene_accession_id,MGI:88328
gene_symbol,Tnfsf8
mouse_strain,C57BL
pvalue,0.2733545
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
analysis_id,rqz1w043wjdu375
