parameter_name,Total T cell percentage
gene_accession_id,MGI:3650254
gene_symbol,Zfp683
mouse_life_stage,Early adult
pvalue,0.4966022
parameter_id,MGP_PBI_001_001
analysis_id,35vt2472x0b7801
mouse_strain,C57BL
