analysis_id,ujt9psm7zz4yydj
parameter_id,MGP_IMM_089_001
gene_accession_id,MGI:1915087
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Tiprl
pvalue,0.7575583
mouse_life_stage,Early adult
mouse_strain,C57BL
