parameter_name,Whole arena average speed
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_strain,C57BL
pvalue,0.07927111
parameter_id,ESLIM_007_001_005
mouse_life_stage,Early adult
analysis_id,cbvej412423a87o
