analysis_id,6ko58ax0432577j
parameter_id,MGP_PBI_010_001
mouse_life_stage,Middle aged adult
pvalue,0.2782318
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
