parameter_name,Lens Opacity
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
parameter_id,IMPC_EYE_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,8o46ki92s2y525q
pvalue,0.1791887
