parameter_name,Lean mass
gene_symbol,Frmpd1
pvalue,0.55425
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_003_001
analysis_id,1dwc56ztt4pb9j2
gene_accession_id,MGI:2446274
