parameter_name,Body Weight
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
parameter_id,M-G-P_012_001_005
gene_symbol,Mapkap1
analysis_id,86gb2c7nhljcy8l
pvalue,0.06738054
mouse_strain,C57BL
