analysis_id,0mn651a18l1j62t
pvalue,0.5044863
parameter_id,IMPC_EYE_007_001
mouse_life_stage,Early adult
parameter_name,Cornea
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
mouse_strain,C57BL
