analysis_id,qh0di2irv166j55
parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
mouse_life_stage,Early adult
pvalue,0.32375
gene_accession_id,MGI:894679
mouse_strain,C57BL
gene_symbol,Bach2
