analysis_id,325kuq20r25f3m0
parameter_name,Number of rears - total
mouse_strain,C57BL
gene_symbol,Tnni1
parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:105073
pvalue,0.8722514
mouse_life_stage,Early adult
