parameter_name,Thoracic processes
gene_symbol,Frmpd1
parameter_id,IMPC_XRY_064_001
pvalue,0.604248
analysis_id,hww8d24475381u7
mouse_strain,C57BL
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
