analysis_id,71jh4665dzx9onk
parameter_id,IMPC_LDT_006_001
pvalue,0.7939789
mouse_strain,C57BL
gene_accession_id,MGI:99915
gene_symbol,Lamb3
mouse_life_stage,Early adult
parameter_name,Latency to first transition into dark
