mouse_life_stage,E18.5
analysis_id,z2r1v2rx64u0kh1
gene_symbol,Nanp
gene_accession_id,MGI:1914561
mouse_strain,C57BL
parameter_id,MGP_PBI_010_001
pvalue,0.2877814
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
