parameter_name,End-Diastolic Diameter
gene_symbol,Mgst2
pvalue,0.4799845
analysis_id,18j8172fk6fq4up
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_002_001
mouse_strain,C57BL
