parameter_id,HRWLLA_CSD_008_001
pvalue,0.9980091
gene_symbol,Usp37
mouse_life_stage,Early adult
analysis_id,63e921sqv38i9ox
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
gene_accession_id,MGI:2442483
